epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1618,2.48646,3.48952,1.79071,0.10094,0.03913,0.00062,0.0002,3.28922,inf,4.00212,0.0705172,0.00327586,0.00327586
2,33.5393,2.50944,2.8681,1.86701,0.11814,0.07383,0.00699,0.00177,3.59057,inf,17.7993,0.0403864,0.00647833,0.00647833
3,44.6911,2.52387,2.69112,1.83342,0.1617,0.09882,0.0377,0.01201,2.53814,26.3137,2.23566,0.0101235,0.0095488,0.0095488
4,56.5561,2.43018,2.60648,1.81115,0.31448,0.19686,0.0838,0.02548,2.50965,8.40606,1.9453,0.009406,0.009406,0.009406
5,67.3302,2.40697,2.47391,1.76345,0.32926,0.19479,0.09993,0.03225,2.41876,4.49772,1.83218,0.009208,0.009208,0.009208
6,77.6259,2.37608,2.39366,1.75393,0.36695,0.28127,0.16795,0.05604,2.35193,2.31558,1.75613,0.00901,0.00901,0.00901
7,87.7802,2.37932,2.39603,1.76758,0.28622,0.22465,0.13409,0.04847,2.42497,2.8562,1.83811,0.008812,0.008812,0.008812
8,98.0579,2.32122,2.23221,1.70791,0.40286,0.31195,0.20939,0.07512,2.27966,2.35198,1.73939,0.008614,0.008614,0.008614
9,108.164,2.2843,2.15408,1.69886,0.46379,0.25933,0.22792,0.08193,2.27554,2.14829,1.73461,0.008416,0.008416,0.008416
10,118.219,2.29393,2.16641,1.72313,0.364,0.30058,0.23339,0.08471,2.2504,2.19651,1.75175,0.008218,0.008218,0.008218
11,128.416,2.26278,2.11427,1.68763,0.35574,0.30729,0.24259,0.09021,2.22887,2.13821,1.71789,0.00802,0.00802,0.00802
12,138.72,2.26354,2.07824,1.70622,0.33135,0.33534,0.23794,0.08469,2.33794,2.41663,1.78676,0.007822,0.007822,0.007822
13,148.907,2.2497,1.98578,1.64857,0.37646,0.26508,0.19472,0.07318,2.26708,2.44438,1.72062,0.007624,0.007624,0.007624
14,159.094,2.23988,2.0051,1.66324,0.59143,0.32939,0.29448,0.10548,2.17429,2.01213,1.67515,0.007426,0.007426,0.007426
15,169.369,2.23764,1.99563,1.66051,0.43293,0.34193,0.3125,0.11963,2.17978,1.87568,1.6739,0.007228,0.007228,0.007228
16,179.91,2.26023,1.97439,1.68362,0.34853,0.42124,0.33354,0.12826,2.11755,1.78624,1.64488,0.00703,0.00703,0.00703
17,190.634,2.19798,1.88336,1.67459,0.52304,0.3599,0.31027,0.11007,2.26024,1.84464,1.7261,0.006832,0.006832,0.006832
18,201.207,2.20127,1.89478,1.64742,0.49213,0.37861,0.32105,0.12213,2.1986,1.7888,1.66729,0.006634,0.006634,0.006634
19,211.942,2.20442,1.82076,1.61939,0.59339,0.388,0.37929,0.14533,2.14065,1.70234,1.63333,0.006436,0.006436,0.006436
20,222.092,2.18446,1.79955,1.62534,0.46052,0.39195,0.3257,0.1248,2.15392,1.84543,1.65724,0.006238,0.006238,0.006238
